Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
30.3,86.7,6.2,30.2,36.5,17.8,2.31,2.9,465,Hazardous
41.1,86.1,15.8,34.3,34.9,17.5,1.88,5.0,716,Poor
26.7,41.7,13.2,18.9,18.9,6.3,0.9,12.3,550,Good
30.6,92.3,14.2,30.6,22.4,14.4,1.6,5.6,574,Moderate
36.8,79.1,1.7,14.1,37.1,19.1,2.17,4.0,659,Poor
27.0,45.8,1.7,6.0,13.0,6.9,0.92,10.9,233,Good
33.0,79.3,57.4,78.2,34.4,25.3,2.58,3.4,692,Hazardous
22.3,53.5,2.1,7.7,16.1,3.8,1.1,10.0,263,Good
34.2,51.9,4.1,11.6,14.5,5.4,1.17,10.2,421,Good
28.8,49.0,0.4,9.3,35.2,7.3,1.43,5.4,553,Moderate
26.2,57.2,3.9,3.9,20.0,3.9,0.94,14.9,290,Good
23.6,60.7,2.9,6.9,15.8,3.0,1.09,12.4,506,Good
38.4,99.1,31.0,52.7,32.7,18.1,2.13,4.7,646,Poor
38.5,55.8,12.3,32.1,24.8,9.4,1.75,5.6,312,Moderate
32.6,59.4,7.2,21.8,31.3,8.6,1.44,16.2,363,Moderate
25.1,57.2,11.5,16.7,13.4,3.6,0.88,10.8,548,Good
47.3,64.8,2.5,21.8,41.0,17.3,1.95,2.6,779,Hazardous
34.7,75.8,2.7,6.4,33.2,6.3,1.5,7.8,335,Moderate
23.9,70.2,4.1,6.0,24.0,1.8,1.03,12.2,458,Good
39.3,74.8,28.1,49.3,33.0,21.3,1.84,3.8,730,Poor
23.5,62.3,6.9,13.9,18.3,4.1,0.92,11.4,196,Good
25.0,82.2,34.6,40.2,10.8,10.3,1.01,14.2,608,Good
26.7,61.6,12.9,21.1,20.3,7.5,0.99,10.7,577,Good
21.6,50.7,1.5,4.0,11.7,2.3,0.94,12.0,452,Good
29.1,52.3,15.2,32.4,25.4,8.8,1.47,6.4,663,Moderate
27.8,76.1,1.9,10.1,39.1,4.5,1.97,5.6,479,Moderate
23.4,68.9,14.2,18.2,18.4,6.7,0.93,10.7,265,Good
31.4,73.5,3.8,11.4,30.4,2.5,1.69,8.8,618,Moderate
